City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
535,Suarez,CO,76.05,2.954,-76.6964,Hotel Estrella Dorada
538,Carutapera,BR,76.91,-1.195,-46.02,Lidera
552,Dwarka,IN,77.97,22.2394,68.9678,Hotel Narayan Avezika Comfort
561,Mtwara,TZ,78.04,-10.2667,40.1833,TIL Hotels Mtwara
568,Humberto De Campos,BR,78.06,-2.5983,-43.4611,Pousada do Cabeça
571,Mitu,CO,79.05,1.1983,-70.1733,
573,Salalah,OM,78.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
574,Adolfo Lopez Mateos,MX,76.93,28.4667,-107.3,Hotel Victor Inn
578,Pilani,IN,77.63,28.3684,75.6041,Hotel Poornima Lodge
587,Nortelandia,BR,78.51,-14.4547,-56.8028,Hotel Karysmã
593,Catamarca,AR,79.59,-28.4696,-65.7852,Amerian Catamarca Park Hotel
597,Caravelas,BR,77.07,-17.7125,-39.2481,Pousada dos Navegantes
598,Aloleng,PH,78.62,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
600,Makakilo City,US,79.12,21.3469,-158.0858,Marriott's Ko Olina Beach Club
601,Quatre Cocos,MU,79.09,-20.2078,57.7625,Sunrise Attitude Hotel
603,Araguacu,BR,79.11,-12.9306,-49.8264,Hotel Tocantins
607,Luanda,AO,78.8,-8.8368,13.2343,EPIC SANA Luanda
608,Banyo,CM,78.46,6.75,11.8167,Motel JOMBA
611,San Pedro,PH,78.35,14.35,121.0167,Esquivel's Garden And Resort
619,Auki,SB,78.85,-8.7676,160.7034,Auki Motel
621,Ixtapa,MX,76.23,20.7,-105.2,hotel la terminal
623,Gurupa,BR,76.68,-1.405,-51.64,Hotel Vitória
626,Bambanglipuro,ID,75.7,-7.95,110.2833,Puri Brata
640,Sao Miguel Do Araguaia,BR,78.64,-13.275,-50.1628,Hotel Executivo Palace
645,Nisia Floresta,BR,77.81,-6.0911,-35.2086,Rancho Crepusculo
648,Gazanjyk,TM,76.32,39.2446,55.5154,Railway motel
652,Dicabisagan,PH,75.24,17.0818,122.4157,Nancy Montanes Bernardo
653,Labuhan,ID,75.69,-6.8844,112.2051,DoubleFAG
676,Karwar,IN,77.74,14.8,74.1333,Netalco Connects
693,Mayumba,GA,77.72,-3.432,10.6554,LIKWALE LODGE
